household_id,geo_lat,geo_lon,village_id,season,year,age,gender,education_level,land_holding_size,mobile_money_txn_count,agri_input_spend,previous_loan_default,credit_access_score,psychometric_resilience,credit_score_label,soil_ph,soil_texture,bulk_density,soc_percent,land_cover_type,ndvi,evi,lst_day,rainfall_mm,soc_class_label,model_partition,data_source,proxy_flag,explainability_tag,timestamp,satellite_id,region_code
HH_00000,24.87270059423681,78.93635520277442,VLG_054,Kharif,2023,35,F,Primary,0.49,7,1557.86,0,0.229,0.904,Low,6.56,Sandy,1.25,0.79,Agriculture,0.632,0.331,30.8,559.2,Medium,test,synthetic,0,"age,txn_count",2022-01-01 00:00:00,MODIS,BR-PTN
HH_00001,27.75357153204958,79.73435659375022,VLG_095,Kharif,2022,21,M,None,0.24,17,671.08,0,0.262,0.693,Medium,5.47,Sandy,1.28,0.51,Agriculture,0.66,0.495,31.4,831.4,Medium,train,synthetic,1,"age,txn_count",2022-01-01 01:00:00,MODIS,RJ-BHL
HH_00002,26.659969709057027,83.5454739320218,VLG_035,Rabi,2024,50,M,Primary,2.08,8,1357.46,1,0.003,0.421,Low,7.13,Loamy,1.29,0.55,Forest,0.871,0.366,36.7,477.4,Medium,train,survey,0,"ndvi,soc_percent",2022-01-01 02:00:00,Landsat-8,UP-KNP
HH_00003,25.993292420985185,78.40004386059893,VLG_036,Zaid,2025,31,M,Graduate+,8.26,10,2560.71,0,0.347,0.579,Low,7.4,Clayey,1.28,0.63,Water,0.249,0.308,25.1,630.0,High,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 03:00:00,MODIS,MH-NGP
HH_00004,23.780093202212182,83.69649684812171,VLG_013,Kharif,2022,61,F,Primary,1.84,9,1993.08,0,0.344,0.577,High,6.18,Sandy,1.25,0.83,Water,0.363,0.314,32.3,652.1,Medium,train,survey,1,"ndvi,soc_percent",2022-01-01 04:00:00,Sentinel-2,BR-PTN
HH_00005,23.779972601681013,75.88134430976692,VLG_026,Kharif,2022,59,F,None,2.35,10,2061.63,0,0.232,0.504,Low,7.45,Clayey,1.09,1.15,Agriculture,0.645,0.434,31.2,412.3,High,train,synthetic,0,"ndvi,soc_percent",2022-01-01 05:00:00,MODIS,BR-PTN
HH_00006,23.290418060841,82.7679843720863,VLG_082,Zaid,2024,49,M,None,1.65,9,780.72,0,0.117,0.766,Low,6.92,Loamy,1.32,1.01,Water,0.289,0.55,30.5,732.1,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 06:00:00,Sentinel-2,BR-PTN
HH_00007,27.330880728874675,83.47547633054737,VLG_030,Kharif,2025,21,F,Primary,3.05,7,1591.6,1,0.2,0.33,Low,5.46,Sandy,1.36,0.56,Forest,0.479,0.261,34.6,470.2,Medium,train,synthetic,0,"ndvi,soc_percent",2022-01-01 07:00:00,Sentinel-2,MH-NGP
HH_00008,26.005575058716044,76.81817652837339,VLG_072,Zaid,2024,37,F,Primary,7.44,10,1164.34,0,0.255,0.513,Medium,5.86,Clayey,1.21,0.41,Forest,0.625,0.428,24.4,701.0,Low,train,satellite,0,"ndvi,soc_percent",2022-01-01 08:00:00,Sentinel-2,MH-NGP
HH_00009,26.540362888980226,79.30346532372201,VLG_080,Zaid,2025,38,M,None,1.57,7,1686.57,0,0.231,0.423,Medium,5.17,Sandy,1.37,1.0,Agriculture,0.304,0.202,27.7,614.2,Medium,train,survey,0,"age,txn_count",2022-01-01 09:00:00,Sentinel-2,MH-NGP
HH_00010,23.102922471479012,76.65499774663655,VLG_082,Rabi,2025,20,F,Secondary,1.08,8,2023.88,0,0.221,0.605,Medium,6.84,Loamy,1.33,1.38,Water,0.458,0.699,29.7,483.0,High,train,synthetic,0,"age,txn_count",2022-01-01 10:00:00,Sentinel-2,MP-GWL
HH_00011,27.849549260809972,82.06604128994218,VLG_043,Kharif,2024,42,F,Primary,3.94,10,1047.45,0,0.186,0.702,Medium,6.26,Clayey,1.31,1.09,Agriculture,0.575,0.418,25.3,567.1,Medium,test,satellite,0,"psychometric_resilience,agri_input_spend",2022-01-01 11:00:00,MODIS,RJ-BHL
HH_00012,27.162213204002107,80.35347768061656,VLG_067,Zaid,2022,21,F,Secondary,7.0,9,1206.58,0,0.199,0.588,Low,6.38,Sandy,1.32,1.41,Barren,0.72,0.235,37.8,666.7,High,train,synthetic,0,"age,txn_count",2022-01-01 12:00:00,Landsat-8,BR-PTN
HH_00013,24.06169555339138,81.35323346708321,VLG_047,Rabi,2023,64,M,None,0.28,11,175.37,0,0.447,0.686,High,6.3,Sandy,1.37,0.65,Agriculture,0.232,0.48,28.7,694.7,Low,train,synthetic,0,"ndvi,soc_percent",2022-01-01 13:00:00,Landsat-8,MP-GWL
HH_00014,23.909124836035502,76.9648696695621,VLG_056,Kharif,2025,28,Other,Secondary,1.73,6,2423.29,0,0.269,0.712,Medium,6.52,Loamy,1.35,0.8,Agriculture,0.321,0.265,42.0,329.8,Medium,train,survey,0,"psychometric_resilience,agri_input_spend",2022-01-01 14:00:00,Sentinel-2,MH-NGP
HH_00015,23.91702254926717,77.11745862052419,VLG_074,Rabi,2025,33,F,Primary,3.14,6,699.82,0,0.218,0.481,High,6.81,Loamy,1.14,1.2,Forest,0.45,0.503,29.6,669.7,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 15:00:00,Sentinel-2,RJ-BHL
HH_00016,24.521211214797688,75.41497325509907,VLG_021,Rabi,2023,53,F,Primary,1.52,10,2075.8,0,0.083,0.639,Medium,7.09,Sandy,1.43,0.31,Barren,0.244,0.238,28.0,465.7,Medium,test,synthetic,0,"age,txn_count",2022-01-01 16:00:00,MODIS,BR-PTN
HH_00017,25.62378215816119,78.2206753519573,VLG_003,Zaid,2023,23,F,Graduate+,1.05,13,804.85,1,0.264,0.522,Medium,6.18,Loamy,1.36,0.91,Barren,0.556,0.179,36.0,406.5,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 17:00:00,MODIS,MP-GWL
HH_00018,25.15972509321058,80.59744661333676,VLG_080,Kharif,2024,48,M,None,2.13,11,926.44,0,0.361,0.479,Low,5.96,Loamy,1.2,0.89,Barren,0.785,0.251,27.5,586.3,Low,train,synthetic,0,"age,txn_count",2022-01-01 18:00:00,MODIS,MP-GWL
HH_00019,24.45614570099021,83.57934913997329,VLG_071,Rabi,2025,57,F,Primary,0.63,12,1028.16,0,0.549,0.403,Low,6.74,Clayey,1.12,1.22,Agriculture,0.608,0.44,17.6,451.0,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 19:00:00,Landsat-8,RJ-BHL
HH_00020,26.059264473611897,81.66927447458681,VLG_045,Zaid,2024,30,F,Primary,0.86,8,1195.49,0,0.478,0.659,Low,6.39,Loamy,1.18,0.51,Forest,0.849,0.374,34.6,587.9,Medium,validation,synthetic,0,"age,txn_count",2022-01-01 20:00:00,Landsat-8,RJ-BHL
HH_00021,23.69746930326021,79.35396323399752,VLG_058,Zaid,2023,40,M,Primary,9.73,16,860.89,1,0.607,0.659,High,6.58,Loamy,1.42,0.73,Agriculture,0.576,0.551,40.7,478.2,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-01 21:00:00,Sentinel-2,RJ-BHL
HH_00022,24.460723242676092,84.53120114394137,VLG_033,Rabi,2024,21,M,Primary,2.02,10,1770.53,1,0.108,0.658,Low,6.99,Clayey,1.29,0.6,Agriculture,0.575,0.252,23.8,638.6,Medium,test,survey,0,"age,txn_count",2022-01-01 22:00:00,Sentinel-2,BR-PTN
HH_00023,24.831809216468457,82.19245200575831,VLG_010,Rabi,2025,54,M,None,4.13,14,1225.76,1,0.369,0.791,Low,6.2,Loamy,1.38,0.77,Agriculture,0.775,0.495,34.1,718.9,Low,test,survey,0,"ndvi,soc_percent",2022-01-01 23:00:00,Landsat-8,RJ-BHL
HH_00024,25.28034992108518,84.3016520286255,VLG_030,Zaid,2022,59,F,Secondary,3.3,6,802.38,0,0.638,0.685,Low,5.42,Loamy,1.5,0.43,Agriculture,0.872,0.324,37.5,765.7,High,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 00:00:00,Landsat-8,UP-KNP
HH_00025,26.925879806965067,80.27587973272166,VLG_010,Rabi,2022,54,F,Secondary,2.11,13,339.85,0,0.162,0.677,High,6.35,Loamy,1.18,0.96,Forest,0.827,0.382,32.7,481.8,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 01:00:00,Sentinel-2,MP-GWL
HH_00026,23.9983689107918,77.5890427479314,VLG_055,Rabi,2025,61,F,Secondary,3.67,10,655.83,0,0.404,0.841,Medium,7.9,Sandy,1.18,0.85,Forest,0.315,0.65,38.5,542.4,High,train,synthetic,0,"age,txn_count",2022-01-02 02:00:00,Landsat-8,BR-PTN
HH_00027,25.571172192068058,75.52826686364722,VLG_037,Kharif,2024,50,M,None,0.68,14,1289.48,0,0.422,0.27,Medium,6.47,Clayey,1.3,0.72,Forest,0.897,0.576,31.1,439.7,Medium,train,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 03:00:00,Sentinel-2,RJ-BHL
HH_00028,25.962072844310214,82.2608485148385,VLG_020,Zaid,2023,59,F,None,2.03,9,1858.01,0,0.355,0.739,Low,6.14,Sandy,1.33,0.88,Forest,0.448,0.25,27.9,506.5,High,train,satellite,0,"age,txn_count",2022-01-02 04:00:00,MODIS,MP-GWL
HH_00029,23.23225206359999,76.21302998005534,VLG_093,Rabi,2023,46,F,Secondary,1.79,11,652.48,0,0.078,0.53,Medium,6.42,Clayey,1.38,0.93,Agriculture,0.433,0.523,27.5,481.5,Medium,train,survey,0,"ndvi,soc_percent",2022-01-02 05:00:00,Landsat-8,RJ-BHL
HH_00030,26.037724259507193,78.02775128271968,VLG_009,Zaid,2022,54,M,None,1.95,12,1403.92,0,0.337,0.478,Medium,6.88,Loamy,1.21,1.25,Agriculture,0.703,0.173,34.4,656.5,High,validation,satellite,1,"age,txn_count",2022-01-02 06:00:00,Sentinel-2,RJ-BHL
HH_00031,23.852620618436458,80.32470907883898,VLG_025,Kharif,2024,36,M,Secondary,0.37,6,861.21,0,0.367,0.066,High,6.05,Loamy,1.23,0.77,Agriculture,0.541,0.699,30.9,574.4,High,validation,synthetic,0,"psychometric_resilience,agri_input_spend",2022-01-02 07:00:00,Sentinel-2,MP-GWL
